type,K,T1,T2,Td,zeta,omega_n,num,den,sprunghoehe_target,sprungzeit_target,Kp,Ki,Kd,Tu,Tg,Overshoot,Label,type_PT1,type_PT1+Td,type_PT2,type_PT2+Td,ISE
PT1+Td,2.743859555533166,26.39136990436937,0.0,2.724140957657162,,,[2.7438595555331666],"[26.39136990436937, 1]",1,20,0.5647750726367478,0.455946834067217,0.8310478488805838,14.10705352676338,5.002501250625312,0.4787418222676465,good,False,True,False,False,0.0
PT1,1.0364967339315312,23.071540974035045,0.0,0.0,,,[1.0364967339315312],"[23.071540974035045, 1]",1,20,2.9160512025619587,0.4280325370365776,0.5270215320255323,19.409704852426213,5.60280140070035,0.1553812578672301,good,True,False,False,False,6.367688355941898
PT1+Td,2.2824876456882848,21.84694668409361,0.0,1.6074837873144436,,,[2.2824876456882848],"[21.846946684093606, 1]",1,20,1.114265995254201,0.7415337224996987,0.4212155604653688,10.40520260130065,3.601800900450225,0.410431722036326,good,False,True,False,False,8.587562017320263
PT1+Td,1.010535772599394,27.33573528800875,0.0,4.585073729331435,,,[1.010535772599394],"[27.33573528800875, 1]",1,20,0.7355362196145185,0.3794767052056487,0.6136476035722347,25.81290645322661,9.704852426213106,0.4189309545044716,good,False,True,False,False,7.981671176606873
PT1,2.444576603000852,42.241136649197934,0.0,0.0,,,[2.4445766030008516],"[42.241136649197934, 1]",1,20,1.2880150189393498,0.9074163923409152,0.4903222375183657,12.706353176588294,4.502251125562781,0.5197280908155105,good,True,False,False,False,0.0
PT2,1.0369326111533828,8.17495901085449,17.8923798141116,0.0,,,[1.0369326111533828],[146.26947159  26.06733882   1.        ],1,20,1.6565585237146632,0.0515610361546972,0.6418137302213026,39.81990995497748,16.408204102051023,0.0,good,False,False,True,False,6.748894593699288
PT1,0.7409189348486862,22.7789964152686,0.0,0.0,,,[0.7409189348486862],"[22.778996415268598, 1]",1,20,0.8902656003377075,0.3435349782002691,0.8604635255059969,29.31465732866433,10.905452726363182,0.3250198329021004,good,True,False,False,False,7.854463932279804
PT2,1.4340838021052076,2.298602777175112,48.51245502758161,0.0,,,[1.4340838021052076],[111.51086385  50.8110578    1.        ],1,20,2.6598209185927404,0.6462611937500103,0.5513259675589993,20.71035517758879,7.903951975987994,0.5790517559348675,good,False,False,True,False,8.484092783238067
PT1,0.5176179424930203,24.372396994999505,0.0,0.0,,,[0.5176179424930203],"[24.372396994999505, 1]",1,20,2.0235915285308157,0.5204985565349061,0.9132138594222524,28.51425712856428,10.105052526263131,0.2778448405377723,good,True,False,False,False,7.8996173958824185
PT1,2.415899605665552,17.707699843066926,0.0,0.0,,,[2.415899605665552],"[17.707699843066926, 1]",1,20,0.8293355549032384,0.2077462472955761,0.6694919033547955,17.508754377188595,5.5027513756878434,0.2062513561465386,good,True,False,False,False,0.0
