type,K,T1,T2,Td,zeta,omega_n,num,den,sprunghoehe_target,sprungzeit_target,Kp,Ki,Kd,Tu,Tg,Overshoot,Label,ISE,SSE,SettlingTime,RiseTime
Osc2,1.575354617967167,,,,0.7718724222864999,1.185958610433703,[2.2157328448171585],"[1, 1.8308174907339876, 1.4064978256618397]",1,20,1.1465701974132874,0.501007580722734,0.1059580648939436,1.9009504752376187,1.0005002501250624,199.0,good,4.188996299975989,199.0,0.6688310496099081,0.5860329809406849
Osc2,0.6594119088558582,,,,0.6543206990548203,1.1226404201208702,[0.8310710145863466],"[1, 1.4691337289613697, 1.2603215128891638]",1,20,2.0226598910077183,0.4970524198680496,0.4767370398728219,2.101050525262631,1.3006503251625812,199.0,good,31.243692006149185,199.0,0.5399295175400954,0.4449633328547162
PT2+Td,1.186743511504856,38.2198331400089,17.50954919142248,1.384250910031123,,,[1.1867435115048561],[669.21204845  55.72938233   1.        ],1,20,1.2035963352083372,0.0591102663092613,0.805674518977822,74.13706853426713,30.815407703851925,0.3087973559446713,good,,,,
Osc2,1.554974073473883,,,,0.5816820345603985,1.0113460243640937,[1.590459796260733],"[1, 1.1765636261933525, 1.0228207809970575]",1,20,2.8687739530786467,0.9056533434903812,0.0206592150408364,1.3006503251625812,0.7003501750875437,199.0,good,3.466300476781329,199.0,1.1368661858548346,1.0465193118251308
PT1+Td,0.9731236488291212,48.65048967066161,,1.1772334261753543,,,[0.9731236488291211],"[48.65048967066161, 1]",1,20,2.302693884044117,0.4887217846685521,0.2470791195412978,28.614307153576785,9.804902451225612,199.0,good,-233.49710740379857,199.0,0.05366042147821007,0.03949975435492552
Osc2,2.8055334443602438,,,,0.7290537238819665,1.0323672595830051,[2.990087490520066],"[1, 1.5053023900256215, 1.0657821586589238]",1,20,0.8805853080536098,0.6101667277301579,0.2046255546137305,1.9009504752376187,0.80040020010005,199.0,good,0.5593878175031229,199.0,0.8187788088986173,0.673776668866747
PT1,0.9520244559679754,46.608826534571705,,,,,[0.9520244559679754],"[46.608826534571705, 1]",1,20,1.0035511585139716,0.5471178547879648,0.9074282827921376,28.614307153576785,10.705352676338167,199.0,good,-35.61374980472169,199.0,0.04248234063884786,0.020206567833802796
PT1,1.4659544583348412,44.62939977440402,,,,,[1.4659544583348412],"[44.62939977440402, 1]",1,20,2.576296667390701,0.6193044140943007,0.4247316215593523,19.2096048024012,6.203101550775387,199.0,good,-88.06053419515128,199.0,0.10095715285432773,0.07056062643050909
PT1+Td,1.4346041898596844,33.867924599098785,,4.576912571318058,,,[1.4346041898596844],"[33.867924599098785, 1]",1,20,2.7269220139862327,0.8824856764908087,0.5999572085163336,14.207103551775887,4.602301150575287,199.0,good,-47.955161375412466,199.0,0.14298177770261639,0.095954137275939
PT1,2.5765805958839327,29.75082488885321,,,,,[2.5765805958839327],"[29.75082488885321, 1]",1,20,1.3256440144729025,0.5536049952564424,0.8374292028717711,13.106553276638316,4.302151075537768,199.0,good,-37.802448042487214,199.0,0.178131962955973,0.09040023092995811
PT2+Td,1.1520562256228966,49.82139945407365,1.805455264535912,1.1849011172641228,,,[1.1520562256228966],[89.95030793 51.62685472  1.        ],1,20,2.857223547402553,0.5167971388358152,0.7866684471119959,25.112556278139067,9.104552276138069,0.4386101570578995,good,,,,
PT1+Td,2.057387396577549,48.91167415624222,,1.7520558904288848,,,[2.057387396577549],"[48.91167415624222, 1]",1,20,1.6913646856101647,0.9085699863747366,0.6911384388999926,14.707353676838418,5.102551275637818,199.0,good,-55.207230165675995,199.0,0.10915921747254667,0.06697408485043502
PT1,0.960969721981982,26.25696627012265,,,,,[0.9609697219819819],"[26.25696627012265, 1]",1,20,2.990608963006128,0.8786585926978865,0.4746450035756673,15.407703851925962,5.002501250625312,199.0,good,-52.704835139089084,199.0,0.12929146759122026,0.09086454449869806
PT1+Td,1.4744277829661292,19.820895480525145,,2.2738246145693486,,,[1.4744277829661292],"[19.820895480525145, 1]",1,20,0.7734213045484826,0.2063133071880752,0.6018250189434149,24.412206103051524,8.404202101050524,199.0,good,-88.38744965026908,199.0,0.09768639520455326,0.04452387313245558
Osc2,1.2978930597596516,,,,0.529400084934507,1.62504732007589,[3.4274484671278356],"[1, 1.7206003785415382, 2.6407787924858326]",1,20,0.5535887263345438,0.8984251560534355,0.7065189996719431,4.8024012006003,0.7003501750875437,199.0,good,0.6924730694311059,199.0,0.6823228310935561,0.33065870041378714
